MSA_CODE,11-0000,13-0000,15-0000,17-0000,19-0000,21-0000,23-0000,25-0000,27-0000,29-0000,31-0000,33-0000,35-0000,37-0000,39-0000,41-0000,43-0000,45-0000,47-0000,49-0000,51-0000,53-0000,55-0000
36100,2230,3030,640,1200,230,1010,570,-1,530,7140,3140,3020,10350,3580,2940,13340,16700,610,4760,4040,6250,6140,0
36140,1090,850,190,140,140,710,180,2510,360,2020,1870,1150,6300,2400,1620,4610,6380,60,2010,1520,820,1510,0
36220,2310,1670,410,890,300,510,260,3570,540,3180,1190,840,7290,1410,1400,7820,10130,0,8270,4380,5220,6330,0
36260,12240,15110,5370,6600,1300,2710,910,14940,2520,10320,6230,3860,19680,7750,7960,22620,39130,-1,14720,11340,21910,15720,0
36420,37640,31030,15190,12170,4360,10520,6260,31560,7300,42020,16620,13370,62520,16350,14810,62460,100940,790,30400,25850,29600,35510,0
36500,6430,7490,4950,1540,2010,1890,860,7150,1790,5290,2990,1760,9570,2950,3140,9810,17850,290,3510,3590,2780,5680,0
36540,23460,28190,19270,6190,3160,6660,2810,27050,6170,30220,11940,8940,41330,13310,16210,53780,80550,540,21530,16730,27260,38020,0
36740,40430,63000,31090,15370,5190,9420,10260,55000,17750,60650,26420,29870,149790,57600,43900,157690,192240,1210,49520,45150,37380,70960,0
36780,4610,4320,2040,2330,610,1320,320,4410,970,4910,2410,1870,6770,2140,3100,7420,13810,50,3760,3590,14870,6250,0
36980,1970,1410,360,480,180,870,180,2790,230,2740,1340,910,4690,1620,1860,5020,7960,0,2350,2110,5740,3630,0
37100,16560,16460,7240,7190,4190,4090,1820,20370,3690,14410,7210,4800,30970,8710,9380,34420,45210,5810,11190,10000,20030,16200,0
37340,6970,10060,9470,8270,900,1810,1040,9270,1710,13560,7150,4890,22860,6910,5570,22930,32180,40,8570,8480,9230,8810,0
37460,2240,3620,1060,1870,570,870,420,4870,580,4880,2240,2630,11010,3080,1590,10300,13450,170,3990,4270,3440,3950,0
37620,1360,2260,560,450,170,510,210,1630,320,2690,1590,700,4350,960,1210,4700,6310,0,2210,2120,1790,2350,0
37860,4570,7120,2870,1910,780,2220,1500,10280,1350,12420,5340,4910,20100,5710,4140,19860,30900,110,7780,7810,6300,7420,0
37900,12430,8560,5090,7120,770,2950,900,10350,1940,12340,5350,2810,16180,6140,4410,16300,24780,200,6320,7670,10840,10850,0
37964,39100,55550,25010,12740,8570,24560,15630,68320,11700,71270,36760,30870,77570,25820,41450,73710,148620,180,21230,25290,27540,49060,0
37980,125040,169250,95260,46090,29690,54270,31200,188720,30630,187670,99810,68290,224920,81530,112540,281130,465930,2190,85290,95960,122950,179380,0
38060,111460,108850,76340,35450,11190,28190,14910,92420,23350,107250,46620,52380,179090,55070,65200,221480,343570,3750,78310,74510,86160,119760,0
38220,1280,1070,250,290,470,510,120,2030,130,2050,1170,2010,2200,690,930,2610,4060,430,960,1540,3570,2350,0
38300,46170,58340,35550,25790,9270,20570,8610,62820,11820,81940,34850,23950,103680,31570,43470,114890,190570,680,51120,44270,61300,72530,0
38540,1890,1490,410,520,330,890,200,3040,370,2050,940,590,3130,1300,1310,3410,5710,40,1230,1250,1220,1390,0
38660,2010,1290,580,810,340,820,70,6890,260,4320,880,1330,5520,5180,1050,8740,10150,140,2240,1950,4890,2890,0
38900,77460,63530,43130,35940,10950,20220,8060,64270,20480,62020,28620,19510,102770,30630,37610,113160,165690,3690,48060,36100,71850,69600,0
38940,3950,5100,1150,1380,780,1960,1050,7650,1070,10730,4770,2590,15830,6900,4470,17790,21550,560,7240,6270,5790,8230,0
39140,3140,1530,440,510,390,1380,250,3360,730,3980,1500,1910,7570,2460,2210,7070,9030,110,2800,2740,2510,3650,0
39340,13520,9110,9890,3870,1550,4480,930,17930,3670,10540,5450,2610,17350,6740,6560,22400,37740,160,17370,6270,12510,8940,0
39380,1610,2080,660,660,330,1180,230,3330,360,5210,3160,1930,6000,1630,2010,7270,9030,130,2390,2430,3070,2720,0
